,min,Q1,median,Q3,max,ori_mean,filtered_mean
MEF2C,0.0,0.3785116232537298,1.3190369185903594,3.291677082178689,9.390233456772055,2.0462034263610795,1.9826109742511289
MELK,1.292781749227846,4.694323060125386,5.266411571272075,5.698357385894231,7.525442506018121,5.160198686682133,5.205279669133143
MEST,0.0,2.017921907997262,4.818897850242051,5.9507011812876085,12.887753719984506,4.255846332836573,4.255846332836573
METRN,0.0565835283663675,3.075529581172195,4.220329747267394,5.145371756286789,7.8912976609191325,4.043673070804647,4.043673070804647
MFSD10,2.871843648509318,5.229393767164208,5.738362522128514,6.232324790423923,8.15593133876956,5.696463794623753,5.721214828952455
MICALL1,1.4905701304462011,3.188638131799344,3.823219592807165,4.525599082430487,6.767257525746639,3.83996903773981,3.83996903773981
MIF,1.3895668117627256,9.493089738577055,9.989039495523613,10.42174908963005,12.043095656146912,9.843628336404763,9.987393429234695
MINDY1,0.0976107966264223,2.27500704749987,2.899175630480513,3.5701477366140173,6.549053029337288,2.8965210713482366,2.8778549883087403
MKNK1,0.5558161550616396,3.9530323208535543,4.338421594624462,4.753948984348925,6.1039172107520665,4.335258047070795,4.360866908266962
MLEC,1.6040713236688608,6.059830698280603,6.507715000987618,6.928103782487836,9.16148463864166,6.478843823779108,6.470827157044447
MLLT11,0.1763227726404629,1.4659584555022982,3.1977028022831653,4.868496728589499,9.46509699343084,3.3347380739729178,3.3347380739729178
MMP1,0.0,0.2986583155645151,0.918386234446348,2.778711081924002,13.932676133865211,2.0829505459062942,1.4523227645644767
MMP2,0.0,0.3334237337251918,1.192190711356118,4.410611332600412,10.391458420049668,2.5759980655083,2.564817149407382
MNAT1,2.885574364371426,4.804260115634738,5.244506099665205,5.6790572705848,7.331185678234804,5.230633483780125,5.243002159747337
MOK,0.4854268271702416,2.7042645043244606,3.7098393861093677,4.8563596546523735,10.295654156979747,3.8907895383925486,3.7914147880685745
MPC2,2.430285272977781,4.282995685460774,4.753016103934007,5.293787096205001,7.841407097194598,4.8139063385644425,4.77734421204601
MPZL1,1.839959587489532,5.073820042441013,5.550131030215395,5.991351022431793,7.6303035332750175,5.506187369414645,5.549294182202114
MRPL12,3.570462931026041,6.418644966873222,6.826357640716909,7.204717829166926,8.66020987335256,6.797051524602903,6.807301104514676
MRPL19,1.5558161550616396,4.911691342912284,5.386292800128981,5.753417323139045,7.0103322832848205,5.308914843604555,5.34011118250353
MRPS16,4.071247819461443,5.811277384056131,6.107269378414983,6.404673254151001,8.095924419998536,6.1152500574084385,6.119516819871751
MRPS2,2.596935142387232,5.400451925746264,5.842475515267596,6.196966681328372,7.835102979490991,5.812821579529518,5.817055023364809
MSH6,1.5360529002402097,4.750606504835592,5.258518727804491,5.7563559993980835,8.209745774177913,5.245012163493012,5.284263137640156
MSRA,0.0,1.839959587489532,2.574100999554009,3.248686028465994,6.856985689782205,2.5103045023451913,2.498459949110781
MTA1,3.196921733820329,5.538764105965691,6.1095694942414465,6.570575984221703,8.659175338086099,6.058622063788708,6.069276380774959
MTERF3,1.989139007368233,3.9467308601403097,4.361768359419154,4.786596361890807,6.242983516109694,4.354475833515462,4.355158969824277
MTF2,2.1009776477248208,3.7498017285398735,4.193377456685337,4.734031662428324,6.995710628907104,4.248180306901758,4.2340391352668085
MTFR1,2.1076878693143737,4.119147519010675,4.539152272328759,4.977165296690927,7.0922285843867785,4.542907296847868,4.5427594451478805
MTHFD2,0.2630344058337938,6.4815158585969845,7.1714266065577785,7.796266733371421,10.287943192291465,7.110682919297816,7.15398437367821
MUC1,0.070389327891398,1.6415460290875237,3.1110158512422457,4.920278247593239,10.76296331855745,3.5081113403622073,3.4977324391058473
MVP,0.4329594072761063,3.831618520787696,5.43826691453388,6.426933751086226,8.396861617969925,5.043257898109371,5.043257898109371
MYBL2,1.495695162624069,5.487194725657455,6.149949600707209,6.899779789354054,9.020257716368322,6.098542584552483,6.134692298641606
MYC,0.01435529297707,5.5023135740898,6.34331836818853,7.199218047746475,10.475936042446389,6.198921357403312,6.436557724830756
MYCBP,2.211012193485512,4.2925976850441,4.72982461802472,5.025027978657643,8.481315089100475,4.680681343632968,4.6774438125899795
MYCBP2,1.7092906357233577,3.8755237097481317,4.379897997113266,4.957334121351018,7.459431618637297,4.421981406717226,4.4141254769133065
